1.940000000000000000e+03;3.513588805446482866e+01;1.363014618080858609e-01;1.108237116814753520e+01;2.700821568191926077e-04;1.080328627276770301e-02;7.453923999501270056e+08
1.941000000000000000e+03;3.795282635053663256e+01;1.472291152370412692e-01;1.197087456121517945e+01;2.917353670482984371e-04;1.166941468193193575e-02;8.051525060207508802e+08
1.942000000000000000e+03;4.098645220784472087e+01;1.589973573913008864e-01;1.292772436913417522e+01;3.150542088334892343e-04;1.260216835333956634e-02;8.695095433275763988e+08
1.943000000000000000e+03;4.426926876057455473e+01;1.717322765796604478e-01;1.396317255413223357e+01;3.402885269081779018e-04;1.361154107632711607e-02;9.391530515560342073e+08
1.944000000000000000e+03;4.781211038678794267e+01;1.854759022383851430e-01;1.508063643695192191e+01;3.675216028501687585e-04;1.470086411400674600e-02;1.014312877267934203e+09
1.945000000000000000e+03;5.163664584260849466e+01;2.003122932400052958e-01;1.628695065907837147e+01;3.969199998150698999e-04;1.587679999260279556e-02;1.095448713586896420e+09
1.946000000000000000e+03;5.576454388415987040e+01;2.163255084570514797e-01;1.758894986199672061e+01;4.286502809584903976e-04;1.714601123833961113e-02;1.183020253636541367e+09
1.947000000000000000e+03;6.022830764562750261e+01;2.336416361983192636e-01;1.899688600793467685e+01;4.629622910138426659e-04;1.851849164055370534e-02;1.277717037102299213e+09
1.948000000000000000e+03;6.503877150507318561e+01;2.523027059000738648e-01;2.051417641763480049e+01;4.999393115589310238e-04;1.999757246235723748e-02;1.379768910545979738e+09
1.949000000000000000e+03;7.025010735280602603e+01;2.725188647436413425e-01;2.215790769480993916e+01;5.399977504827766861e-04;2.159991001931106311e-02;1.490325106776633978e+09
1.950000000000000000e+03;7.586231518882600255e+01;2.942901127290216690e-01;2.392807983946008932e+01;5.831376077853798155e-04;2.332550431141519262e-02;1.609385625794261217e+09
1.951000000000000000e+03;8.194040128150399482e+01;3.178686264738061484e-01;2.584519677604064825e+01;6.298585729335657831e-04;2.519434291734262699e-02;1.738329546969722509e+09
1.952000000000000000e+03;8.849520000890186111e+01;3.432964354142601371e-01;2.791267582529420110e+01;6.802439275051388535e-04;2.720975710020555327e-02;1.877386716864828110e+09
1.953000000000000000e+03;9.557004888326679293e+01;3.707416572954441714e-01;3.014418627019100327e+01;7.346267978113159769e-04;2.938507191245263647e-02;2.027476521726817608e+09
1.954000000000000000e+03;1.032191197949079253e+02;4.004144392986845880e-01;3.255681471444390951e+01;7.934235917411185850e-04;3.173694366964473906e-02;2.189748194364742279e+09
1.955000000000000000e+03;1.114749158780106768e+02;4.324408697327769002e-01;3.516081312028060779e+01;8.568841540279594719e-04;3.427536616111837714e-02;2.364891274464032173e+09
1.956000000000000000e+03;1.203916090228841114e+02;4.670310957790472228e-01;3.797326809141394932e+01;9.254248925608598523e-04;3.701699570243438542e-02;2.554054994833737850e+09
1.957000000000000000e+03;1.300233711198373214e+02;5.043952646188215594e-01;4.101126623155676754e+01;9.994622152288408327e-04;3.997848860915362290e-02;2.758388588282909393e+09
1.958000000000000000e+03;1.404243740591793710e+02;5.447435234334261356e-01;4.429189414442191008e+01;1.079412529920923845e-03;4.317650119683694165e-02;2.979041287620597363e+09
1.959000000000000000e+03;1.516596241092811113e+02;5.883280488404520892e-01;4.783565575446476004e+01;1.165775526103934043e-03;4.663102104415735999e-02;3.217392172217661858e+09
1.960000000000000000e+03;1.637941275385134929e+02;6.354010174574905578e-01;5.166305498614075020e+01;1.259050893244697232e-03;5.036203572978789622e-02;3.474820321444964886e+09
1.961000000000000000e+03;1.797098289113191925e+02;6.971422593310887539e-01;5.668309915697293633e+01;1.381391531039145209e-03;5.525566124156580661e-02;3.812464920743988991e+09
1.962000000000000000e+03;1.979115840551677366e+02;7.677517122566464014e-01;6.242419800448691092e+01;1.521304581750290100e-03;6.085218327001160055e-02;4.198607144584942818e+09
1.963000000000000000e+03;2.088326371414768801e+02;8.101173840119811898e-01;6.586885731299530278e+01;1.605252412176977166e-03;6.421009648707907969e-02;4.430292478889514923e+09
1.964000000000000000e+03;2.183885585919973664e+02;8.471873467978989769e-01;6.888293420794012434e+01;1.678706763800328185e-03;6.714827055201311179e-02;4.633017146406016350e+09
1.965000000000000000e+03;2.334050065856724530e+02;9.054401454614842137e-01;7.361934075713918446e+01;1.794135030637023171e-03;7.176540122548091816e-02;4.951584481074803352e+09
1.966000000000000000e+03;2.529610589872478386e+02;9.813032779201938949e-01;7.978760469747413708e+01;1.944458278573699735e-03;7.777833114294797900e-02;5.366457525142018318e+09
1.967000000000000000e+03;2.984654468468692698e+02;1.157826910234088791e+00;9.414035181625912685e+01;2.294240905351562724e-03;9.176963621406249161e-02;6.331813084744403839e+09
1.968000000000000000e+03;3.380434299066781136e+02;1.311360440910911862e+00;1.066238244888594835e+02;2.598468509070498908e-03;1.039387403628199563e-01;7.171442575036666870e+09
1.969000000000000000e+03;3.539699656575455720e+02;1.373143712220774804e+00;1.116472859804341908e+02;2.720892428442750824e-03;1.088356971377100052e-01;7.509317020897501945e+09
1.970000000000000000e+03;3.548800534147380290e+02;1.376674184867052952e+00;1.119343409228099091e+02;2.727888080978308621e-03;1.091155232391323171e-01;7.528624132089550018e+09
1.971000000000000000e+03;3.654002345127599938e+02;1.417484767480574614e+00;1.152525593638432895e+02;2.808754493026237569e-03;1.123501797210494924e-01;7.751805143607148170e+09
1.972000000000000000e+03;3.842087148280702422e+02;1.490447868836984657e+00;1.211850281729411023e+02;2.953331312094421499e-03;1.181332524837768599e-01;8.150818774909467697e+09
