name,val,sr,mr,lr
ASK,41562945911.04857,31843449644.14752,9719496266.90105,0.0
CO2 (kg),3853039030.3355703,3175570148.1977034,677468882.137867,0.0
Seats,60520322.20403377,55166775.74122451,5353546.4628092665,0.0
CO2 (kg) per ASK,0.09270370388522742,0.09972443889355244,0.06970205693117366,
Energy (MJ) per ASK,1.290811066756331,1.3885681364925022,0.9705349699277345,
Share of world ASK (%),0.3897347282361913,0.2985952492329382,0.09113947900325314,0.0
Share of world Seats (%),1.086618475374294,0.9904976636632898,0.09612081171100442,0.0
Share of world CO2 (%),0.45627279342011806,0.37604764727584755,0.08022514614427045,0.0
