name,val,sr,mr,lr
ASK,919935471914.6785,30069762503.369583,161513308568.79538,728352400842.5135
CO2 (kg),70977239458.80753,2427965386.560736,10957809905.761654,57591464166.48514
Seats,200628945.62676996,30504454.743837766,68270818.27896655,101853672.60396564
CO2 (kg) per ASK,0.07715458488743923,0.08074441513426191,0.06784462533063805,0.07907087846469216
Energy (MJ) per ASK,1.074304346533964,1.1242893246542796,0.9446719982747069,1.1009869153311567
Share of world ASK (%),8.626212441938392,0.2819634282531034,1.5145063479452368,6.829742665740053
Share of world Seats (%),3.6022134561336223,0.5476954335128088,1.2257755704066893,1.8287424522141247
Share of world CO2 (%),8.405049381059152,0.28751708470415926,1.2976122214451251,6.819920074909867
