name,val,sr,mr,lr
ASK,149853607590.05823,64298495983.71037,48813848935.163284,36741262671.18457
CO2 (kg),12245715031.0421,6155890581.62535,3423625820.435799,2666198628.9809513
Seats,121943262.91429463,96101312.98188655,18269439.094638165,7572510.837769927
CO2 (kg) per ASK,0.08171785269622378,0.09573926244223359,0.07013636283799728,0.07256687536413921
Energy (MJ) per ASK,1.1378435185550146,1.3330783378032525,0.9765822673645189,1.0104248468424446
Share of world ASK (%),1.4051736167671176,0.6029254257346984,0.4577262687207919,0.3445219223116272
Share of world Seats (%),2.189443109429874,1.7254611077877786,0.328020561226227,0.1359614404158681
Share of world CO2 (%),1.4501245797537867,0.7289740305127851,0.40542213676445366,0.31572841247654804
