name,categories,amount,unit
contrail,air::lower stratosphere + upper troposphere,2.77E-05,kilometer
nitrogen oxides,air::lower stratosphere + upper troposphere,2.05E-05,kilogram
sulfur dioxide,air::lower stratosphere + upper troposphere,-7.65E-04,kilogram
water vapour,air::lower stratosphere + upper troposphere,1.82E-07,kilogram
"carbon dioxide, fossil",air::lower stratosphere + upper troposphere,9.88E-06,kilogram
soot,air::lower stratosphere + upper troposphere,5.76E-03,kilogram
