name,categories,amount,unit
contrail,air::lower stratosphere + upper troposphere,1.693E-05,kilometer
nitrogen oxides,air::lower stratosphere + upper troposphere,5.527E-05,kilogram
sulfur dioxide,air::lower stratosphere + upper troposphere,-3.606E-04,kilogram
water vapour,air::lower stratosphere + upper troposphere,9.382E-08,kilogram
"carbon dioxide, fossil",air::lower stratosphere + upper troposphere,1.59311E-06,kilogram
soot,air::lower stratosphere + upper troposphere,1.858E-03,kilogram
