name,categories,amount,unit
contrail,air::lower stratosphere + upper troposphere,2.07E-05,kilometer
nitrogen oxides,air::lower stratosphere + upper troposphere,1.83E-05,kilogram
sulfur dioxide,air::lower stratosphere + upper troposphere,-5.72E-04,kilogram
water vapour,air::lower stratosphere + upper troposphere,1.36E-07,kilogram
"carbon dioxide, fossil",air::lower stratosphere + upper troposphere,1.92E-06,kilogram
soot,air::lower stratosphere + upper troposphere,4.73E-03,kilogram
