name,val,sr,mr,lr
ASK,137048670014.6499,69614105314.36964,67434564700.28027,0.0
CO2 (kg),10446353219.16988,5927826463.313701,4518526755.856177,0.0
Seats,121727486.15383242,89299892.30361839,32427593.850214027,0.0
CO2 (kg) per ASK,0.076223674538784,0.08515266319295907,0.0670060936248232,
Energy (MJ) per ASK,1.061342303704587,1.1856699938260122,0.9329962403456393,
Share of world ASK (%),1.2851020300053493,0.65276976454379,0.6323322654615593,0.0
Share of world Seats (%),2.1855689229428257,1.6033442865507241,0.5822246363921018,0.0
Share of world CO2 (%),1.2370460633378966,0.7019669196266309,0.5350791437112655,0.0
