"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND 2.1","LeastTotalCost_CBA_brkSR15_SSP2_P50","World","Population","million","",6522.9121,6935.7698,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400f","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Population","million","","",6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"REMIND 1.7","ADVANCE_2020_WB2C","World","Population","million","",6465.587,6858.4392,7248.0137,7637.5883,"","","","",7978.3738,8287.5745,8565.3943,8809.9672,9018.4261,9186.5608,9311.6739,9395.1232,"",9457.9448,"",9399.8698,"",9239.5293,"",9012.2116
"GCAM 5.3","R_MAC_55_n0","World","Population","million","",6534.314,6947.252,7369.295,7739.743,"","","","",8084.34,8396.881,8677.608,8924.749,9135.444,9305.449,9431.933,9516.32,9563.891,9579.816,9565.127,9521.116,9450.775,9359.357,9251.425,9130.189
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_lo_full","World","Population","million","",6465.587,6858.439100000001,7248.0137,7637.5883,"","","","",7978.373399999999,8287.574100000002,8565.3943,8809.967499999999,9018.426600000004,9186.5608,9311.6731,9395.123700000002,"",9457.9456,"",9399.8699,"",9239.5298,"",9012.2115
"IMAGE 3.2","SSP1_SPA1_19I_D","World","Population","million","",6541.73681640625,6957.7060546875,7382.4990234375,7756.7080078125,"","","","",8032.658203125,8258.1728515625,8448.5009765625,8596.3046875,8695.7197265625,8743.8984375,8746.41015625,8706.01953125,8626.0146484375,8508.7451171875,8356.0087890625,8169.212890625,7949.27197265625,7701.02392578125,7428.81494140625,7134.71923828125
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_3000f_NDCp","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","Population","million","",6541.73681640625,6957.7060546875,7382.4990234375,7756.7080078125,"","","","",8032.658203125,8258.1728515625,8448.5009765625,8596.3046875,8695.7197265625,8743.8984375,8746.41015625,8706.01953125,8626.0146484375,8508.7451171875,8356.0087890625,8169.212890625,7949.27197265625,7701.02392578125,7428.81494140625,7134.71923828125
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","Population","million","",6522.9121,6935.7699,7359.7949,7714.5161,"","","","",8043.7246,8341.3484,8607.5912,8840.5872,9037.4692,9194.0269,9319.14,9402.5894,"",9465.4109,"",9407.3359,"",9246.9954,"",9019.6777
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1200f","World","Population","million",6119.419990539551,6503.129936218262,6867.390037536621,7239.32,7611.249999999999,"","","","",7936.62,8261.990000000002,8524.555,8787.12,8978.115,9169.11,9276.905,9384.7,"",9456.88,"",9407.26,"",9253.95,"",9032.420000000002
"REMIND-MAgPIE 1.7-3.0","EMF33_Med2C_cost100","World","Population","million","",6465.587,6858.439100000001,7248.0137,7637.5883,"","","","",7978.373399999999,8287.574100000002,8565.3943,8809.967499999999,9018.426600000004,9186.5608,9311.6731,9395.123700000002,"",9457.9456,"",9399.8699,"",9239.5298,"",9012.2115
