"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1400f","World","GDP|PPP","billion US$2010/yr","","","","",112128.4002050387,"","","","",137780.5191801253,158259.5158279267,183191.6710573287,204573.4083413003,230838.5833566824,253601.7025334052,282073.1738276285,306864.0058865104,"",368053.7691150764,"",434915.4996728654,"",507692.788866194,"",586571.9673429199
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","GDP|PPP","billion US$2010/yr","","",75296.8599,93111.1482,106316.0455,"","","","",122643.2682,140699.6616,159907.7605,179128.5339,198810.8061,219572.9416,242363.094,265558.1446,"",320406.905,"",381823.2091,"",444366.5938,"",517595.8705
"REMIND 1.7","ADVANCE_2020_WB2C","World","GDP|PPP","billion US$2010/yr","",62912.32486,73767.35772999999,93073.12091,111282.2516,"","","","",132201.8572,154339.656,177204.4571,201086.8319,226254.6613,251472.9969,275563.128,299508.3127,"",359084.187,"",426630.7989,"",493053.8241,"",573899.075
"GCAM 5.3","R_MAC_55_n0","World","GDP|PPP","billion US$2010/yr","",64634.2539322498,76433.02910473,90110.3059915806,106034.523210673,"","","","",125384.778723085,146988.803333955,168519.449327136,190857.822297733,213892.566643841,237169.633125274,261255.250018024,287122.434950304,314752.043605239,343726.647701966,373689.07118122,404955.687137627,437305.855693509,470974.330598285,505985.377414225,542023.577026047
"REMIND-MAgPIE 1.7-3.0","EMF33_tax_lo_full","World","GDP|PPP","billion US$2010/yr","",62912.32486,73641.58505,92867.68656,111511.8918,"","","","",132975.59,155305.37,178588.74,202934.82,227991.72,253043.56,277614.48,302914.48,"",366544.2,"",436564.7,"",503757.54,"",584083.83
"IMAGE 3.2","SSP1_SPA1_19I_D","World","GDP|PPP","billion US$2010/yr","",63458.62539796875,75805.85891515625,91057.30977734376,102473.6782173437,"","","","",123349.06448,152126.384219375,184681.6339203125,219045.06147,254208.3811503125,288821.2752096875,323156.00537,358240.00048125,393654.03287875,428311.20192125,461368.275150625,493650.83041875,524412.77021875,553475.7484106249,580513.258629375,604549.45116875
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_3000f_NDCp","World","GDP|PPP","billion US$2010/yr","","","","",112128.4002050387,"","","","",137743.1177257393,158206.440999523,183698.9076150913,205560.7972477251,232359.5868180192,255585.9027096064,284535.9851399088,309755.5029518728,"",371628.1052891706,"",439044.856890012,"",512550.0777709712,"",592882.9070876901
"IMAGE 3.2","SSP1_SPA1_34I_RE","World","GDP|PPP","billion US$2010/yr","",63458.62539796875,75805.85891515625,91057.30977734376,102473.6782173437,"","","","",123349.06448,152126.384219375,184681.6339203125,219045.06147,254208.3811503125,288821.2752096875,323156.00537,358240.00048125,393654.03287875,428311.20192125,461368.275150625,493650.83041875,524412.77021875,553475.7484106249,580513.258629375,604549.45116875
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_600_COV","World","GDP|PPP","billion US$2010/yr","",64109.8737,75258.4828,92901.0956,106262.3174,"","","","",122646.3845,140790.6758,160574.753,180695.6935,201276.1937,222148.3938,244500.0625,266920.9503,"",322190.1725,"",382116.0097,"",441565.1207,"",513921.0338
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1200f","World","GDP|PPP","billion US$2010/yr","","","","",112128.4002050387,"","","","",137427.1617047681,157622.5353726711,182793.2019029482,204359.8073283304,230782.4987313064,253670.8179685234,282219.1508238346,307059.109395491,"",368350.815167338,"",435292.2198150188,"",508260.219051327,"",587488.4841485143
