"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.0","EN_INDCi2030_1400f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,8269.54460144043,9533.883094787598,10526.28040313721,11745.2802658081,"",14683.30001831055,"",16315.34957885742,"",16709.52033996582,"",16666.26930236816,"",17644.91081237793
"IMAGE 3.2","SSP1_SPA1_19I_LI","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.51400756836,5859.074115753174,2529.58607673645,7141.018867492676,7395.380020141602,7404.05797958374,7122.538089752197,7165.66801071167,7510.746002197266,7804.806232452393,8078.845024108887,8373.137474060059,8656.302452087402,8864.255905151367,8925.875663757324,8811.250686645508,8556.452751159668,8208.843231201172,7832.198143005371
"IMAGE 3.0","CO_2Deg2020","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.770076751709,3849.456071853638,4490.654945373535,5302.827835083008,6260.724067687988,7328.232765197754,8154.089927673341,8720.556259155273,9214.288711547852,"",11034.3599319458,"",12755.37014007568,"",14806.44989013672,"",16926.45072937012,"",19217.64945983887
"AIM/CGE 2.2","EN_INDCi2030_800f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3402.847,3738.4978,4030.2157,4192.2347,4442.7432,4694.7568,4922.569,5134.8942,5351.8076,5559.2852,5749.3482,5937.6765,6111.5649,6279.9516,6440.1581,6592.4416
"REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5465.4907,6921.8171,5206.2407,7258.4474,6929.5136,7567.58,9180.4634,10064.6501,11437.4876,12611.9721,13609.4359,15118.2946,"",18009.972,"",21503.8674,"",25449.2434,"",29870.3773
"REMIND-Transport 2.1","Transport_Budg1100_ElecPush-LowD","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",5199.3902,5544.7377,7381.8462,12229.1129,13861.8204,13542.3656,13042.1488,12006.4427,10751.6988,10112.723,9301.9721,9053.4547,"",8902.5133,"",8642.1877,"",8218.2976,"",8152.5355
"IMAGE 3.0","EN_NPi2020_800f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.726987838745,4483.413219451904,5451.713085174561,6640.697002410889,7389.936923980713,7734.157085418701,8358.743667602539,9439.640998840332,"",11500.08964538574,"",12992.56992340088,"",14317.79956817627,"",15476.36032104492,"",16644.25086975098
"IMAGE 3.0","EN_INDCi2030_1200f","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.329772949219,5356.648921966553,6742.098808288574,8273.104667663574,9540.873527526855,10243.8497543335,10923.39992523193,"",12640.72036743164,"",14140.66028594971,"",15664.27993774414,"",16536.59057617188,"",17313.58909606934
"AIM/CGE 2.2","EN_NPi2020_1400","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr","",2191.6592,2522.3754,3021.6178,3350.9368,3698.8383,4023.3909,4316.6632,4582.2659,4807.3115,4997.9593,5184.7117,5375.9002,5560.3237,5743.762,5932.314,6104.9594,6271.8729,6428.7083,6579.3436
"IMAGE 3.2","SSP1_SPA1_19I_RE","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3932.596921920776,3849.512100219727,5859.094142913818,2529.588937759399,7468.285083770752,8126.823425292969,8570.54328918457,8644.041061401367,8780.45654296875,9259.74941253662,9882.14874267578,10623.06022644043,11414.0100479126,11920.14026641846,11913.18988800049,11457.75985717773,10660.82954406738,9587.723731994629,8521.666526794434,7694.358825683594
"IMAGE 3.0","EN_NPi2020_1400","World","Energy Service|Transportation|Passenger|Aviation","bn pkm/yr",3955.050945281982,3691.813945770264,3848.727941513062,4483.410835266113,5492.710113525392,6812.576770782471,8112.85400390625,9252.784729003906,10533.12015533447,12054.53014373779,"",14364.39990997314,"",16278.45001220703,"",18498.1803894043,"",21014.40048217773,"",24176.58996582031
