name,val,sr,mr,lr
ASK,243665517372.3395,63942466820.02377,33086821826.98256,146636228725.33313
CO2 (kg),19537697297.627472,5618870110.41498,2259621729.332776,11659205457.879715
Seats,117335913.89695781,82111427.70750114,15278760.02588066,19945726.163576007
CO2 (kg) per ASK,0.08018244644675093,0.08787384018558718,0.06829370742069996,0.07951108371532642
Energy (MJ) per ASK,1.0910902522817374,1.1957516227785596,0.929313107306993,1.0819546201769101
Share of world ASK (%),2.2848456025441504,0.5995869489662201,0.3102543198101476,1.375004333767782
Share of world Seats (%),2.1067199780516654,1.4742782446783562,0.27432410007601704,0.35811763329729207
Share of world CO2 (%),2.3136333820653747,0.665380636157368,0.26758200744872057,1.3806707384592862
