name,val,sr,mr,lr
ASK,365524203863.28174,32221139034.74424,157290087187.98383,176012977640.5536
CO2 (kg),27033421473.996784,2765901095.993519,10721380244.453928,13546140133.549337
Seats,123363269.08550785,36382602.95951228,59571903.24607067,27408762.879924916
CO2 (kg) per ASK,0.0739579518627669,0.08584119552729132,0.06816310192288448,0.07696103045999655
Energy (MJ) per ASK,1.0297942664435895,1.1952571529116511,0.9491064824705433,1.071609284886028
Share of world ASK (%),3.427511528208042,0.3021368334198949,1.4749053042498637,1.6504693905382835
Share of world Seats (%),2.2149387592313374,0.6532352624417871,1.0695899876764996,0.492113509113051
Share of world CO2 (%),3.2012690851381453,0.3275350728234948,1.2696144718342541,1.6041195404803963
