eps,constraint,year,value,active
0.0,G1,,4.909082942618925e-11,True
0.0,G2,2030.0,-0.9142610789595289,False
0.0,G2,2035.0,-0.7447227377717635,False
0.0,G2,2040.0,-0.5005791097582893,False
0.0,G2,2045.0,-0.3401394969419124,False
0.0,G2,2050.0,-0.1279106364933945,False
0.0,G3,2030.0,-0.7051856988750193,False
0.0,G3,2035.0,-0.37737485108887614,False
0.0,G3,2040.0,-1.4210854715202004e-16,True
0.0,G3,2045.0,-1.4210854715202004e-16,True
0.0,G3,2050.0,-2.842170943040401e-16,True
0.0,G4,2030.0,-0.9999999611515662,False
0.0,G4,2035.0,-0.8636174895138571,False
0.0,G4,2040.0,-0.7206428549495879,False
0.0,G4,2045.0,-0.3955111442392797,False
0.0,G4,2050.0,1.5221814919641476e-11,True
0.0,G5,2030.0,0.0,True
0.0,G5,2035.0,-3.9402941413815366e-16,True
0.0,G5,2040.0,-1.5907066531833014,False
0.0,G5,2045.0,-6.753714037793049,False
0.0,G5,2050.0,-6.893750942212694,False
0.0,G6,2030.0,-0.9999998833532366,False
0.0,G6,2035.0,-0.47847143544731796,False
0.0,G6,2040.0,-4.722639543152841e-12,True
0.0,G6,2045.0,-2.4855375443834733e-12,True
0.0,G6,2050.0,-1.9966570509751045,False
-0.6,G1,,6.41583520387912e-08,True
-0.6,G2,2030.0,-0.9157412722859719,False
-0.6,G2,2035.0,-0.7574551491386956,False
-0.6,G2,2040.0,-0.5172906656298586,False
-0.6,G2,2045.0,-0.3796263138217374,False
-0.6,G2,2050.0,-0.05178065164278152,False
-0.6,G3,2030.0,-0.7051856988749118,False
-0.6,G3,2035.0,-0.3773748282974846,False
-0.6,G3,2040.0,1.827224593853316e-09,True
-0.6,G3,2045.0,8.633460453211228e-09,True
-0.6,G3,2050.0,5.115907697472721e-15,True
-0.6,G4,2030.0,-0.9999999604690254,False
-0.6,G4,2035.0,-0.9002092875429675,False
-0.6,G4,2040.0,-0.7847340242621625,False
-0.6,G4,2045.0,-0.5341953299119618,False
-0.6,G4,2050.0,3.424815986363683e-14,True
-0.6,G5,2030.0,5.122382383795998e-15,True
-0.6,G5,2035.0,9.109039365745038e-08,True
-0.6,G5,2040.0,-1.5907068714268673,False
-0.6,G5,2045.0,-6.753714018190134,False
-0.6,G5,2050.0,-6.893751043115146,False
-0.6,G6,2030.0,-0.9999998813038316,False
-0.6,G6,2035.0,-0.6183989659818514,False
-0.6,G6,2040.0,-1.412240555272555e-07,True
-0.6,G6,2045.0,-3.9336740847169545e-07,True
-0.6,G6,2050.0,-0.15318977442853993,False
-0.8,G1,,1.0267714709747102e-06,True
-0.8,G2,2030.0,-0.9161982917193003,False
-0.8,G2,2035.0,-0.7871536485189218,False
-0.8,G2,2040.0,-0.514391354727877,False
-0.8,G2,2045.0,-0.37168555260175806,False
-0.8,G2,2050.0,-0.021705844828976525,False
-0.8,G3,2030.0,-0.7051856988751928,False
-0.8,G3,2035.0,-0.377374643834086,False
-0.8,G3,2040.0,1.9364778154340458e-08,True
-0.8,G3,2045.0,9.743812555029763e-08,True
-0.8,G3,2050.0,-3.623767952376511e-14,True
-0.8,G4,2030.0,-0.9999999602534139,False
-0.8,G4,2035.0,-0.9832298602953873,False
-0.8,G4,2040.0,-0.7847344818151569,False
-0.8,G4,2045.0,-0.5341974724231477,False
-0.8,G4,2050.0,-2.469846549502108e-13,True
-0.8,G5,2030.0,-4.531338262588767e-14,True
-0.8,G5,2035.0,8.282793338349591e-07,True
-0.8,G5,2040.0,-1.5907086251200844,False
-0.8,G5,2045.0,-6.753713801999169,False
-0.8,G5,2050.0,-6.893752080546966,False
-0.8,G6,2030.0,-0.9999998806564339,False
-0.8,G6,2035.0,-0.9358707589685131,False
-0.8,G6,2040.0,-2.2667525979147333e-06,True
-0.8,G6,2045.0,-6.5496394492950345e-06,True
-0.8,G6,2050.0,-0.15316129494481068,False
-0.9,G1,,1.1296986464845949e-06,True
-0.9,G2,2030.0,-0.916420435558985,False
-0.9,G2,2035.0,-0.7934875746673873,False
-0.9,G2,2040.0,-0.5150847188534232,False
-0.9,G2,2045.0,-0.3731571189996846,False
-0.9,G2,2050.0,-0.005524014343625936,False
-0.9,G3,2030.0,-0.7051856988749552,False
-0.9,G3,2035.0,-0.37737485109018576,False
-0.9,G3,2040.0,1.746406667280098e-08,True
-0.9,G3,2045.0,9.18062707455647e-08,True
-0.9,G3,2050.0,4.2454356403709425e-07,True
-0.9,G4,2030.0,-0.9999999601477598,False
-0.9,G4,2035.0,-0.999999968489037,False
-0.9,G4,2040.0,-0.7891320765397342,False
-0.9,G4,2045.0,-0.5437135391010747,False
-0.9,G4,2050.0,-1.0818744058411767e-05,True
-0.9,G5,2030.0,2.4429823676565527e-14,True
-0.9,G5,2035.0,-3.3886529615881217e-14,True
-0.9,G5,2040.0,-1.5907065728276095,False
-0.9,G5,2045.0,-6.753713806699109,False
-0.9,G5,2050.0,-6.893749981561304,False
-0.9,G6,2030.0,-0.9999998803391957,False
-0.9,G6,2035.0,-0.9999998795016515,False
-0.9,G6,2040.0,-0.020430920597191964,False
-0.9,G6,2045.0,-8.160052551308934e-06,True
-0.9,G6,2050.0,-0.02673377712000276,False
-1.0,G1,,4.19548367003218e-06,True
-1.0,G2,2030.0,-0.9166384633005166,False
-1.0,G2,2035.0,-0.7939569822837794,False
-1.0,G2,2040.0,-0.5157266046250684,False
-1.0,G2,2045.0,-0.3745109390396438,False
-1.0,G2,2050.0,-0.00014774579178975956,False
-1.0,G3,2030.0,-0.7051856988748304,False
-1.0,G3,2035.0,-0.3773748510932189,False
-1.0,G3,2040.0,3.938692898941554e-08,True
-1.0,G3,2045.0,2.2455002209653686e-07,True
-1.0,G3,2050.0,1.1960596837923276e-06,True
-1.0,G4,2030.0,-0.9999999600435158,False
-1.0,G4,2035.0,-0.9999999684172244,False
-1.0,G4,2040.0,-0.7932507711429974,False
-1.0,G4,2045.0,-0.5526298133067137,False
-1.0,G4,2050.0,-0.015227990503902618,False
-1.0,G5,2030.0,-5.35880003227889e-14,True
-1.0,G5,2035.0,5.3193970908650743e-14,True
-1.0,G5,2040.0,-1.5907064719527775,False
-1.0,G5,2045.0,-6.753713434452399,False
-1.0,G5,2050.0,-6.893747837465404,False
-1.0,G6,2030.0,-0.9999998800261911,False
-1.0,G6,2035.0,-0.999999879227039,False
-1.0,G6,2040.0,-0.039563967550726165,False
-1.0,G6,2045.0,-2.9575588227598955e-05,True
-1.0,G6,2050.0,-0.00010327804127111367,False
-1.4,G1,,1.7515062971202348e-06,True
-1.4,G2,2030.0,-0.9174712478732221,False
-1.4,G2,2035.0,-0.7957738181057021,False
-1.4,G2,2040.0,-0.5147480108640885,False
-1.4,G2,2045.0,-0.3706450256381646,False
-1.4,G2,2050.0,-9.39003364680957e-05,True
-1.4,G3,2030.0,-0.70518569887477,False
-1.4,G3,2035.0,-0.3773852612957823,False
-1.4,G3,2040.0,-3.806587656640659e-08,True
-1.4,G3,2045.0,-1.6147307562164316e-07,True
-1.4,G3,2050.0,-9.286749929060534e-09,True
-1.4,G4,2030.0,-0.9999999596402721,False
-1.4,G4,2035.0,-0.9999999681367276,False
-1.4,G4,2040.0,-0.801687964911808,False
-1.4,G4,2045.0,-0.5708852813592591,False
-1.4,G4,2050.0,-0.09672949224603897,False
-1.4,G5,2030.0,-1.4244163321094254e-13,True
-1.4,G5,2035.0,-4.160435011349623e-05,True
-1.4,G5,2040.0,-1.5906033033814975,False
-1.4,G5,2045.0,-6.753714360130225,False
-1.4,G5,2050.0,-6.893749100217613,False
-1.4,G6,2030.0,-0.9999998788154069,False
-1.4,G6,2035.0,-0.9999998781544155,False
-1.4,G6,2040.0,-0.07875823663339279,False
-1.4,G6,2045.0,-2.203810326927781e-05,True
-1.4,G6,2050.0,-0.24959191939463526,False
