eps,branch,area_loss_2050_MEUR,cum_surplus_loss_disc_MEUR,rpk_2050_Tpkm
-0.999,power,19195238552.656612,,2.198336058370829
-1.0,log,19212117718.175697,,2.1981602251175514
-1.001,power,19228992858.53463,,2.1979844324015096
