continent,co2_2019,co2_2050,change_pct
Asia,357.55949320572506,743.1035001978258,108
North America,253.02917866177324,117.60031326715495,-54
Europe,220.85337122836307,156.46888480878377,-29
Africa,34.0254542534213,61.75229836798549,81
South America,37.474577505031576,53.534276051139024,43
Oceania,37.63338364274446,46.451422126749854,23
