name,val,sr,mr,lr
ASK,126231594397.29395,48068054263.70679,51974997457.68745,26188542675.899708
CO2 (kg),9770298860.385344,4127811403.9903717,3726189803.434566,1916297652.9604063
Seats,80713775.8896045,54047100.69325838,21876425.503095537,4790249.693250573
CO2 (kg) per ASK,0.07739978970427068,0.08587431855145895,0.07169196701679564,0.0731731305814088
Energy (MJ) per ASK,1.0777185908189588,1.1957183595772767,0.998242578714876,1.0188663751841731
Share of world ASK (%),1.1836705762517334,0.4507329703096985,0.4873682811752722,0.24556932476676252
Share of world Seats (%),1.4491839584591442,0.9703943405277348,0.3927825771758465,0.08600704075556269
Share of world CO2 (%),1.156988423548143,0.4888110463407571,0.44125144257326127,0.2269259346341246
