name,val,sr,mr,lr
ASK,155411138525.08188,12215944524.997583,42725708119.55327,100469485880.53104
CO2 (kg),12212625287.49635,1070534839.1457547,3035418712.668829,8106671735.681766
Seats,42911382.56819956,13785397.956155464,15145518.370499969,13980466.241544131
CO2 (kg) per ASK,0.07858268978272331,0.08763422565935125,0.0710443160865877,0.08068789906341778
Energy (MJ) per ASK,1.094189351405008,1.2202233952567896,0.9892246543702085,1.1235023920222726
Share of world ASK (%),1.4572864485490893,0.11454861331984469,0.4006379210537733,0.9420999141754715
Share of world Seats (%),0.770456920986984,0.24751137409752844,0.2719317987935155,0.25101374809594024
Share of world CO2 (%),1.44620612743542,0.12677159968142065,0.3594510629985713,0.9599834647554281
