name,val,sr,mr,lr
ASK,63981900217.88539,56531528702.15373,7450371515.73166,0.0
CO2 (kg),6080466336.61902,5541362416.275627,539103920.3433921,0.0
Seats,89151244.24081042,85596218.16434968,3555026.0764607433,0.0
CO2 (kg) per ASK,0.0950341630353657,0.09802251139308944,0.07235933392114201,
Energy (MJ) per ASK,1.3232604979607883,1.364870411802511,1.0075350292817242,
Share of world ASK (%),0.5999567149744314,0.5300947633178607,0.06986195165657073,0.0
Share of world Seats (%),1.6006753693094844,1.5368462805928653,0.06382908871661888,0.0
Share of world CO2 (%),0.7200423714536126,0.6562022572626609,0.06384011419095163,0.0
