name,val,sr,mr,lr
ASK,228676037131.07684,9621725071.095192,53231883253.66041,165822428806.3213
CO2 (kg),17768881180.607224,823982197.4752731,3815654721.0328727,13129244262.099075
Seats,53211734.2186244,10189829.491499983,21437696.568792183,21584208.158332236
CO2 (kg) per ASK,0.07770329328569797,0.08563767841908243,0.07167987468807982,0.07917652851071119
Energy (MJ) per ASK,1.0819445900540223,1.1924233703922869,0.9980742045175671,1.1024579919212951
Share of world ASK (%),2.144289612582974,0.09022268088917638,0.49915406857267697,1.5549128631211206
Share of world Seats (%),0.9553956655044039,0.18295436281797808,0.3849053724893269,0.38753593019709903
Share of world CO2 (%),2.104172054421085,0.09757509747772965,0.45184578318188073,1.5547511737614745
