continent,co2_2019,co2_2050,change_pct
Asia,357.55949320572506,776.9076125981685,117
North America,253.02917866177324,137.91502933309312,-45
Europe,220.85337122836307,166.0485585884855,-25
Africa,34.0254542534213,65.56431822870145,93
South America,37.474577505031576,56.82713098298495,52
Oceania,37.63338364274446,49.2995669381567,31
