name,val,sr,mr,lr
ASK,277067704042.264,1054476135.3644046,43349977482.61212,232663250424.2874
CO2 (kg),21915827938.193565,92666790.51050067,3102426201.676303,18720734946.00676
Seats,46405766.1097379,1238223.159999999,16918378.985570297,28249163.96416761
CO2 (kg) per ASK,0.07909917907592189,0.08787945729893355,0.07156696224169207,0.0804627929501862
Energy (MJ) per ASK,1.1013809744748617,1.2236380130231252,0.996502005896978,1.1203680031038583
Share of world ASK (%),2.5980570907807676,0.009887796955666453,0.4064916796174377,2.1816776142076626
Share of world Seats (%),0.8331971969471531,0.02223180765225109,0.3037628107320219,0.5072025785628802
Share of world CO2 (%),2.5952490890296938,0.010973503001297302,0.36738601874358107,2.2168895672848152
