elasticity,avoided_gt
-1.8,6.643409351844275
-1.7750000000000001,6.740360647256551
-1.75,6.837755484454668
-1.725,6.935596069839624
-1.7,7.033884621240622
-1.675,7.132623367975639
-1.65,7.231814550912341
-1.625,7.3314604225293225
-1.6,7.431563246977687
-1.575,7.532125300142928
-1.55,7.633148869707183
-1.525,7.734636255211788
-1.5,7.836589768120193
-1.475,7.939011731881202
-1.45,8.041904481992562
-1.425,8.145270366064887
-1.4,8.249111743885932
-1.375,8.35343098748521
-1.35,8.458230481198967
-1.325,8.563512621735482
-1.3,8.669279818240746
-1.275,8.775534492364486
-1.25,8.882279078326533
-1.225,8.989516022983567
-1.2,9.097247785896203
-1.175,9.205476839396447
-1.15,9.314205668655532
-1.125,9.423436771752076
-1.1,9.53317265974066
-1.075,9.643415856720734
-1.05,9.754168899905917
-1.025,9.86543433969366
-1.0,9.977214739735292
-0.975,10.089512677006438
-0.95,10.202330741877823
-0.925,10.315671538186441
-0.9,10.429537683307139
-0.875,10.543931808224546
-0.85,10.658856557605432
-0.825,10.774314589871425
-0.8,10.890308577272133
-0.7749999999999999,11.006841205958667
-0.75,11.123915176057533
-0.7250000000000001,11.241533201744978
-0.7,11.359698011321669
-0.675,11.478412347287813
-0.6499999999999999,11.597678966418693
-0.625,11.717500639840573
-0.5999999999999999,11.837880153107058
-0.575,11.958820306275816
-0.55,12.080323913985772
-0.5249999999999999,12.202393805534648
-0.5,12.325032824956997
-0.47499999999999987,12.448243831102602
-0.44999999999999996,12.572029697715317
-0.42500000000000004,12.69639331351235
-0.3999999999999999,12.821337582263931
-0.375,12.946865422873465
-0.34999999999999987,13.07297976945807
-0.32499999999999996,13.19968357142958
-0.30000000000000004,13.326979793575969
-0.2749999999999999,13.454871416143227
-0.25,13.58336143491766
-0.22499999999999987,13.712452861308652
-0.19999999999999996,13.842148722431876
-0.17500000000000004,13.972452061192932
-0.1499999999999999,14.103365936371453
-0.125,14.234893422705674
-0.09999999999999987,14.367037610977434
-0.07499999999999996,14.499801608097648
-0.05,14.633188537192257
