case,budget,f_lo,f_hi,feasible_lo,feasible_hi,seconds,direct_price_eur_per_tco2,reported_lambda_G1_eur_per_tco2,relative_error,budget_adjusted_gtco2
B15,2.4,11.755587381965064,11.050111086154097,True,True,257.2,284.9386533754594,284.9561209681687,6.130299453011765e-05,2.243054326165563
B15,2.6,5.402059905918878,4.689929590255689,True,True,261.6,287.6261815992759,338.54374125701,0.17702685956688402,2.4906431623777463
B15,2.8,0.326881436320401,-0.14634236341308898,True,True,350.8,191.1329311019247,181.43227129269897,-0.05075347169793935,2.7382319985899484
main,2.6,9.103960177222454,8.537092741632978,True,True,280.9,228.9551678750453,228.95960863646448,1.939576843969331e-05,2.4906431623777463
