case,budget,f_lo,f_hi,feasible_lo,feasible_hi,seconds,direct_price_eur_per_tco2,reported_lambda_G1_eur_per_tco2,relative_error,budget_adjusted_gtco2
B5,2.6,16.518717819607524,15.74377440596362,True,True,209.2,312.99610495352755,313.023775228245,8.840453372904129e-05,2.4906431623777463
B75,2.6,11.519011475332075,10.817987282573517,True,True,240.5,283.14046928908385,283.1468922259894,2.2684630429828484e-05,2.4906431623777463
