run,case,case_label,biomass_share_world_pct,efficiency_gain_pct_per_yr,carbon_budget_share_world_pct,objective_kind,constraint,constraint_name,component,year,g_value,g_bound,slack,active,ineq_tolerance,ineq_tolerance_is_default,lambda_raw,objective_scale,f_opt_scaled,kkt_residual,kkt_residual_relative,objective_grad_norm,max_constraint_violation,run_feasible,termination_message,x_eval_distance_from_x_opt,n_database_entries,min_residual_kerosene_fraction,blend_degenerate,n_gradient_points,lambda_eur_discounted2020_per_unit_g,f_opt_eur_discounted2020,budget_adjusted_gtco2,shadow_price_eur_per_tco2_discounted2020,undiscount_factor_to_year,shadow_price_eur_per_tco2_undiscounted_year,allocated_resource_mj,allocated_resource_ej,shadow_price_eur_per_gj_discounted2020,shadow_price_eur_per_ej_discounted2020,shadow_price_eur_per_gj_undiscounted_year,shadow_price_eur_per_ej_undiscounted_year,ramp_branch_active,ramp_rate_cap_mj,ramp_volume_cap_mj,ramp_previous_consumption_mj,shadow_price_eur_per_gj_of_cap_discounted2020,d_obj_d_volume_bound_eur_per_ej_per_yr_discounted2020,d_obj_d_rate_bound_eur_per_unit_tau_discounted2020,shadow_price_eur_per_gj_of_cap_undiscounted_year,d_obj_d_volume_bound_eur_per_ej_per_yr_undiscounted_year,d_obj_d_rate_bound_eur_per_unit_tau_undiscounted_year,lambda_gtco2_per_unit_g
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G3,biomass_trajectory_constraint,4,2050.0,-0.33269331453196854,0.0,0.33269331453196854,False,0.0001,True,0.0,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,0.0,269700966128.75238,,,3.7453181345368614,,2365323000000.0,2.365323,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,0,2030.0,-0.6669566077201005,0.0,0.6669566077201005,False,0.0001,True,0.0,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,0.0,269700966128.75238,,,1.552969421732896,,1065287574000.0001,1.065287574,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,1,2035.0,-0.3492910042551259,0.0,0.3492910042551259,False,0.0001,True,0.0,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,0.0,269700966128.75238,,,1.9352824430911528,,1356710238000.0002,1.3567102380000002,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,2,2040.0,2.467004378559068e-13,0.0,2.467004378559068e-13,True,0.0001,True,0.0,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,0.0,269700966128.75238,,,2.411714024837406,,1648132902000.0002,1.6481329020000002,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,3,2045.0,9.605116702005035e-13,0.0,9.605116702005035e-13,True,0.0001,True,6.9420451524249245,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,69420451524.24924,269700966128.75238,,,3.005434456537094,,1895265009000.0002,1.8952650090000003,36.62836130809886,36628361308.098854,110.08413916185042,110084139161.8504,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,4,2050.0,1.4365753031597706e-12,0.0,1.4365753031597706e-12,True,0.0001,True,7.45363610420678,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,74536361042.0678,269700966128.75238,,,3.7453181345368614,,2142397116000.0002,2.142397116,34.79110407935584,34791104079.355835,130.3037530289708,130303753028.97078,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,0,2030.0,3.756801738603566e-05,0.0,3.756801738603566e-05,True,0.0001,True,48.72153483715785,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,487215348371.5784,269700966128.75238,,,1.552969421732896,,,,,,,,volume,89799803521.1634,154900000000.0,36088527006.640396,3145.354088906252,15726770444531.258,0.0,4884.638720593942,24423193602969.707,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,1,2035.0,0.0004094011465676728,0.0,0.0004094011465676728,False,0.0001,True,13.916254441010285,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,139162544410.10284,269700966128.75238,,,1.9352824430911528,,,,,,,,rate,385455248245.4722,154900000000.0,154905819285.8926,898.4024816662547,0.0,1442891464979.2273,1738.6625495982241,0.0,2792402519460.3716,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,2,2040.0,-0.9924121666392838,0.0,0.9924121666392838,False,0.0001,True,0.0,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,0.0,269700966128.75238,,,2.411714024837406,,,,,,,,rate,959293803206.5349,154900000000.0,385518664483.079,0.0,0.0,0.0,0.0,0.0,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,3,2045.0,-8.032411314198491,0.0,8.032411314198491,False,0.0001,True,0.0,1e-10,26.97009661287524,3.37945056016079e-14,6.073245329831918e-14,0.5564488797382929,0.07278883546291397,False,Positive directional derivative for linesearch,0.0,62,9.999999979691624e-06,False,13,0.0,269700966128.75238,,,3.005434456537094,,,,,,,,rate,2004513848712.8823,154900000000.0,805569158594.1047,0.0,0.0,0.0,0.0,0.0,0.0,
