name,categories,amount,unit
contrail,air::lower stratosphere + upper troposphere,2.2274E+01,kilometer
nitrogen oxides,air::lower stratosphere + upper troposphere,-5.6527E+00,kilogram
sulfur dioxide,air::lower stratosphere + upper troposphere,-2.1301E+02,kilogram
water vapour,air::lower stratosphere + upper troposphere,5.1938E-02,kilogram
