run,f_opt_recomputed_scaled,neighbour,trapezoid_error_pct
opt_B15_2_6,4.981711358906091,opt_B15_2_8,0.04208816977020805
opt_B15_2_4,11.567075021810224,opt_B15_2_6,0.038847048721636177
opt_B15_2_2,21.11035695183833,opt_B15_2_4,
