,biofuel_mac_eur_per_tco2,electrofuel_mac_eur_per_tco2,lambda_G1_implied_eur_per_tco2,ratio_to_biofuel_mac,binding_constraints
2030,379.58789815110845,2554.2530684293047,355.56724295188815,0.9367191227217206,G5
2035,379.58789815110845,1234.3142739790328,443.1014757877633,1.1673224513900888,G5
2040,379.58789815110845,1008.8624777280509,552.185055674154,1.4546961543392964,G3+G6
2045,379.58789815110845,874.407897759608,688.1230426231157,1.812816072311093,G3+G6
2050,379.58789815110845,761.9782259218504,857.526506599838,2.259098645601365,G3+G4
