case,budget,f_lo,f_hi,feasible_lo,feasible_hi,seconds,direct_price_eur_per_tco2,reported_lambda_G1_eur_per_tco2,relative_error,budget_adjusted_gtco2
main,3.0,-1.4320383218165376,-1.8777913058971893,True,True,1029.5,180.0375941420241,209.81133117883553,0.1653751105634315,2.9858208348021313
B5,3.4,-7.263352991109207,-7.6950177197100835,True,True,1227.3,174.34741210663455,196.58605521779128,0.12755361747242402,3.4809985072264995
