case,budget,f_lo,f_hi,feasible_lo,feasible_hi,seconds,direct_price_eur_per_tco2,reported_lambda_G1_eur_per_tco2,relative_error,budget_adjusted_gtco2
B15,2.6,5.401983161061499,4.689909354807425,True,True,341.5,287.60335770706007,338.5433094740509,0.177118765834702,2.4906431623777463
main,2.6,9.103960172346094,8.537092741823646,True,True,329.6,228.95516582849595,228.9595905598225,1.932575450100024e-05,2.4906431623777463
