case,budget,f_lo,f_hi,feasible_lo,feasible_hi,seconds,direct_price_eur_per_tco2,reported_lambda_G1_eur_per_tco2,relative_error,budget_adjusted_gtco2
main,2.6,9.103960175585156,8.537092742386042,True,True,807.4000000000001,228.95516690958914,228.9595905598225,1.9321032554359602e-05,2.4906431623777463
main,2.8,3.220595477698279,2.6462318675042726,True,True,770.8,231.98283855649166,211.24755726341067,-0.08938282427314813,2.7382319985899297
