run,case,case_label,biomass_share_world_pct,efficiency_gain_pct_per_yr,carbon_budget_share_world_pct,objective_kind,constraint,constraint_name,component,year,g_value,g_bound,slack,active,ineq_tolerance,lambda_raw,objective_scale,f_opt_scaled,kkt_residual,kkt_residual_relative,objective_grad_norm,max_constraint_violation,run_feasible,termination_message,x_eval_distance_from_x_opt,n_database_entries,min_residual_kerosene_fraction,blend_degenerate,n_gradient_points,lambda_eur_discounted2020_per_unit_g,f_opt_eur_discounted2020,budget_adjusted_gtco2,shadow_price_eur_per_tco2_discounted2020,undiscount_factor_to_year,shadow_price_eur_per_tco2_undiscounted_year,allocated_resource_mj,allocated_resource_ej,shadow_price_eur_per_gj_discounted2020,shadow_price_eur_per_ej_discounted2020,shadow_price_eur_per_gj_undiscounted_year,shadow_price_eur_per_ej_undiscounted_year,ramp_branch_active,ramp_rate_cap_mj,ramp_volume_cap_mj,ramp_previous_consumption_mj,shadow_price_eur_per_gj_of_cap_discounted2020,d_obj_d_volume_bound_eur_per_ej_per_yr_discounted2020,d_obj_d_rate_bound_eur_per_unit_tau_discounted2020,shadow_price_eur_per_gj_of_cap_undiscounted_year,d_obj_d_volume_bound_eur_per_ej_per_yr_undiscounted_year,d_obj_d_rate_bound_eur_per_unit_tau_undiscounted_year,lambda_gtco2_per_unit_g
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G3,biomass_trajectory_constraint,4,2050.0,-0.33268007724970716,0.0,0.33268007724970716,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,3.7453181345368614,,2365323000000.0,2.365323,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,0,2030.0,-0.6669566077186428,0.0,0.6669566077186428,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,1.552969421732896,,1065287574000.0001,1.065287574,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,1,2035.0,-0.34929100425361326,0.0,0.34929100425361326,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,1.9352824430911528,,1356710238000.0002,1.3567102380000002,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,2,2040.0,2.0943247136528953e-11,0.0,2.0943247136528953e-11,True,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,2.411714024837406,,1648132902000.0002,1.6481329020000002,0.0,0.0,0.0,0.0,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,3,2045.0,4.0773358023216134e-11,0.0,4.0773358023216134e-11,True,0.0001,6.944334725639131,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,69443347256.3913,269699642622.76898,,,3.005434456537094,,1895265009000.0002,1.8952650090000003,36.6404417992351,36640441799.2351,110.12044628616316,110120446286.16316,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G4,electricity_trajectory_constraint,4,2050.0,2.0932588995492552e-13,0.0,2.0932588995492552e-13,True,0.0001,7.453350560542394,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,74533505605.42393,269699642622.76898,,,3.7453181345368614,,2142397116000.0002,2.142397116,34.789771256125945,34789771256.125946,130.29876118195776,130298761181.95775,,,,,,,,,,,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,0,2030.0,1.630624004189163e-05,0.0,1.630624004189163e-05,True,0.0001,48.720364459128525,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,487203644591.2852,269699642622.76898,,,1.552969421732896,,,,,,,,volume,89799803521.15381,154900000000.0,36088527006.636536,3145.27853189984,15726392659499.197,0.0,4884.521382873387,24422606914366.93,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,1,2035.0,0.00018190604722064261,0.0,0.00018190604722064261,False,0.0001,13.915904894616906,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,139159048946.16907,269699642622.76898,,,1.9352824430911528,,,,,,,,rate,385447053089.6849,154900000000.0,154902525836.5825,898.3799157273666,0.0,1442824546133.6372,1738.618878132882,0.0,2792273012593.389,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,2,2040.0,-0.9916288818599253,0.0,0.9916288818599253,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,2.411714024837406,,,,,,,,rate,959185725150.6691,154900000000.0,385475230336.39935,0.0,0.0,0.0,0.0,0.0,0.0,
opt_B15_2_0,B15,15 % biomass,15.0,1.35,2.0,min_surplus_loss,G5,biofuel_use_growth_constraint,3,2045.0,-8.03253432491472,0.0,8.03253432491472,False,0.0001,0.0,1e-10,26.9699642622769,0.0007799767181964118,0.0015296038837099594,0.5099207229420905,0.0727914689605732,False,Maximum number of iterations reached. GEMSEO stopped the driver.,0.0,50,-7.688112641484539e-17,True,15,0.0,269699642622.76898,,,3.005434456537094,,,,,,,,rate,2004546825811.8416,154900000000.0,805582411350.5667,0.0,0.0,0.0,0.0,0.0,0.0,
