rate_cap,volume_cap_EJ_yr,worst,feasible,binding
0.118,0.1,1.9251349398101842,False,electrofuel_ramp 2050
0.118,0.2,0.9625674699050921,False,electrofuel_ramp 2050
0.118,0.4,0.48128373495254606,False,electrofuel_ramp 2050
0.2,0.1,0.7036583274934757,False,biofuel_ramp 2035
0.2,0.2,0.35182916374673784,False,biofuel_ramp 2035
0.2,0.4,-0.10957617001904482,True,biofuel_ramp 2035
0.39,0.1,-0.15880385085304766,True,biomass 2050
0.39,0.2,-0.15880385085304766,True,biomass 2050
0.39,0.4,-0.15880385085304766,True,biomass 2050
