run,block,constraint,year,value,slack,active,violated,in_problem
base,baseline,blend_completeness,2030,-0.9164204355590548,0.9164204355590548,False,False,True
base,baseline,biomass,2030,-0.7081338418864468,0.7081338418864468,False,False,True
base,baseline,electricity,2030,-0.9999999601477586,0.9999999601477586,False,False,True
base,baseline,biofuel_ramp,2030,-8.022438871852808e-13,8.022438871852808e-13,True,False,True
base,baseline,electrofuel_ramp,2030,-0.9999998803391922,0.9999998803391922,False,False,True
base,baseline,blend_completeness,2035,-0.7934875746675276,0.7934875746675276,False,False,True
base,baseline,biomass,2035,-0.3836011025797844,0.3836011025797844,False,False,True
base,baseline,electricity,2035,-0.9999999684889411,0.9999999684889411,False,False,True
base,baseline,biofuel_ramp,2035,2.7582058989670756e-15,-2.7582058989670756e-15,True,False,True
base,baseline,electrofuel_ramp,2035,-0.9999998795012849,0.9999998795012849,False,False,True
base,baseline,blend_completeness,2040,-0.6106525405912491,0.6106525405912491,False,False,True
base,baseline,biomass,2040,1.583654011483304e-08,-1.583654011483304e-08,True,False,True
base,baseline,electricity,2040,-0.9999999743034138,0.9999999743034138,False,False,True
base,baseline,biofuel_ramp,2040,-1.5442315313873862,1.5442315313873862,False,False,True
base,baseline,electrofuel_ramp,2040,-0.9999998806286854,0.9999998806286854,False,False,True
base,baseline,blend_completeness,2045,-0.5252191420707654,0.5252191420707654,False,False,True
base,baseline,biomass,2045,4.080539071082967e-09,-4.080539071082967e-09,True,False,True
base,baseline,electricity,2045,-0.8249664248429609,0.8249664248429609,False,False,True
base,baseline,biofuel_ramp,2045,-6.8219335353188395,6.8219335353188395,False,False,True
base,baseline,electrofuel_ramp,2045,-0.06497413327425401,0.06497413327425401,False,False,True
base,baseline,blend_completeness,2050,-0.4079876311569345,0.4079876311569345,False,False,True
base,baseline,biomass,2050,4.6786585983227266e-08,-4.6786585983227266e-08,True,False,True
base,baseline,electricity,2050,-0.6147017101930109,0.6147017101930109,False,False,True
base,baseline,biofuel_ramp,2050,-6.963384611972139,6.963384611972139,False,False,True
base,baseline,electrofuel_ramp,2050,-2.5823555499988653e-06,2.5823555499988653e-06,True,False,True
eps_m0_6,A,blend_completeness,2030,-0.9157414973849375,0.9157414973849375,False,False,True
