1.941000000000000000e+03;2.456627227593128637e+01;9.529910891093568148e-02;7.748560308412273834e+00;1.888357508142715039e-04;7.553430032570858203e-03;5.405488771674890518e+08
1.942000000000000000e+03;2.652989095627977179e+01;1.029165084242276845e-01;8.367914258271088812e+00;2.039296732316268511e-04;8.157186929265071440e-03;5.837557528759952784e+08
1.943000000000000000e+03;2.865480688537117970e+01;1.111596228975401390e-01;9.038143711154022597e+00;2.202634535618364737e-04;8.810538142473458081e-03;6.305117648034143448e+08
1.944000000000000000e+03;3.094803298706387551e+01;1.200556573291347989e-01;9.761460645453427176e+00;2.378909986706766600e-04;9.515639946827060547e-03;6.809712232201340199e+08
1.945000000000000000e+03;3.342359510907464681e+01;1.296590217155350333e-01;1.054228901795400830e+01;2.569201222896995256e-04;1.027680489158798276e-02;7.354427486669291258e+08
1.946000000000000000e+03;3.609551909912027412e+01;1.400241260532645859e-01;1.138505278544046817e+01;2.774586381504582700e-04;1.109834552601832690e-02;7.942349616845748425e+08
1.947000000000000000e+03;3.898484372877592108e+01;1.512325853371085937e-01;1.229638788308987429e+01;2.996682668502812430e-04;1.198673067401124712e-02;8.578107930842341185e+08
1.948000000000000000e+03;4.209858192189994242e+01;1.633116045653288106e-01;1.327850628929456711e+01;3.236029152549447867e-04;1.294411661019779190e-02;9.263245531362936497e+08
1.949000000000000000e+03;4.547179829778431781e+01;1.763972087292340618e-01;1.434246789601631988e+01;3.495321176933303422e-04;1.398128470773321065e-02;1.000547793192691922e+09
1.950000000000000000e+03;4.910449285642902595e+01;1.904893978288243195e-01;1.548827270325513616e+01;3.774558741654379093e-04;1.509823496661751377e-02;1.080480513253428221e+09
1.951000000000000000e+03;5.303874314098437992e+01;2.057514018536700795e-01;1.672919258136512255e+01;4.076976258659250002e-04;1.630790503463699220e-02;1.167048574940827847e+09
1.952000000000000000e+03;5.728156207530881261e+01;2.222104258020333178e-01;1.806743950873864080e+01;4.403112796605679574e-04;1.761245118642271873e-02;1.260406288525278568e+09
1.953000000000000000e+03;6.186100135483581397e+01;2.399752896669607449e-01;1.951186139894508997e+01;4.755124630124716624e-04;1.902049852049886997e-02;1.361170895088330269e+09
1.954000000000000000e+03;6.681212559885736368e+01;2.591820184397613525e-01;2.107351814394625222e+01;5.135707102505178813e-04;2.054282841002070745e-02;1.470113945981920719e+09
1.955000000000000000e+03;7.215597357894861830e+01;2.799122271152204022e-01;2.275904567891917907e+01;5.546477419720350450e-04;2.218590967888140267e-02;1.587698372017212629e+09
1.956000000000000000e+03;7.792760991440151486e+01;3.023019406846466084e-01;2.457950389582562423e+01;5.990130925059048653e-04;2.396052370023619288e-02;1.714695724546142817e+09
1.957000000000000000e+03;8.416209922450796910e+01;3.264871841393487961e-01;2.654595268662737340e+01;6.469362961810081868e-04;2.587745184724031880e-02;1.851877554920650244e+09
1.958000000000000000e+03;9.089450612855993938e+01;3.526039824706356796e-01;2.866945194328618030e+01;6.986868873262269382e-04;2.794747549304906972e-02;2.000015414492671251e+09
1.959000000000000000e+03;9.816690816970771039e+01;3.808155656680780599e-01;3.096327353615614797e+01;7.545883071362180896e-04;3.018353228544872272e-02;2.160035164884530544e+09
1.960000000000000000e+03;1.060213828911016805e+02;4.112851637212461275e-01;3.344068933559141499e+01;8.149639968056395867e-04;3.259855987222558954e-02;2.332862667718555927e+09
1.961000000000000000e+03;1.163233680390728892e+02;4.512493061677677053e-01;3.669008559395786051e+01;8.941531826309794201e-04;3.576612730523917594e-02;2.559544454917825222e+09
1.962000000000000000e+03;1.281050801211637804e+02;4.969537032475196958e-01;4.040620929311075571e+01;9.847167171351117743e-04;3.938866868540446403e-02;2.818785709168862343e+09
1.963000000000000000e+03;1.351741073704183691e+02;5.243763414953709345e-01;4.263588351260249709e+01;1.039054837837591165e-03;4.156219351350363966e-02;2.974330461719482899e+09
1.964000000000000000e+03;1.413595062135161129e+02;5.483711499622407892e-01;4.458684845465775481e+01;1.086600693452260524e-03;4.346402773809041747e-02;3.110432120201278687e+09
1.965000000000000000e+03;1.510794186812411226e+02;5.860772775530364020e-01;4.765265050645891165e+01;1.161315609418170011e-03;4.645262437672680045e-02;3.324306154958383560e+09
1.966000000000000000e+03;1.637377462456304897e+02;6.351822994155083002e-01;5.164527150465590921e+01;1.258617502144336380e-03;5.034470008577343614e-02;3.602836193007860184e+09
1.967000000000000000e+03;1.931920264508578384e+02;7.494432921148889148e-01;6.093558075253818629e+01;1.485026338404667537e-03;5.940105353618667372e-02;4.250939328635452747e+09
1.968000000000000000e+03;2.188102373055472469e+02;8.488231507650881857e-01;6.901593781980339770e+01;1.681948119085379095e-03;6.727792476341516725e-02;4.814634746361069679e+09
1.969000000000000000e+03;2.291192353773768389e+02;8.888144982098711289e-01;7.226754605656218189e+01;1.761191211776495270e-03;7.044764847105979000e-02;5.041470843830726624e+09
1.970000000000000000e+03;2.297083209814813358e+02;8.910997180638586812e-01;7.245335224151982345e+01;1.765719388501702175e-03;7.062877554006806446e-02;5.054432906543278694e+09
1.971000000000000000e+03;2.365178700479756060e+02;9.175157713760251355e-01;7.460118326049449422e+01;1.818062955170458850e-03;7.272251820681835399e-02;5.204268179089563370e+09
1.972000000000000000e+03;2.486923058661362802e+02;9.647436483584358458e-01;7.844117774961918599e+01;1.911645274158062799e-03;7.646581096632251717e-02;5.472150808482299805e+09
1.973000000000000000e+03;2.573883314505366684e+02;9.984778462030147184e-01;8.118403095613679454e+01;1.978489787720636925e-03;7.913959150882544924e-02;5.663495543762826920e+09
